Name,City,Cuisine,Rating,Price,Count,Reviews,RestID
UDON Raval,Barcelona,"('Japanese', 'Asian', 'Fusion', 'Vegetarian Friendly')",3.0,50.0,82.0,"Good noodles, poor service, Disappointed",11669
Cafeteria K2,Barcelona,[],4.0,,4.0,,11670
Gyoza Bar,Barcelona,"('Chinese', 'Vegetarian Friendly')",3.0,50.0,30.0,"No vegetable, Homemade gyozas!",11671
Restaurante Tijuana,Barcelona,[],3.0,,37.0,"Microwave meal in a bar, Strawberry Mojito",11672
Untok,Barcelona,Spanish,3.5,50.0,2.0,,11673
Euro Doner Pizzeria,Barcelona,"('Brew Pub', 'Pizza', 'Pub')",4.0,,5.0,Great Tasting food,11674
Can Cuxart,Barcelona,[],3.0,,64.0,"Good food, friendly atmosphere, reasonably...",11675
Farga,Barcelona,[],3.5,,22.0,"Good for breakfast or brunch, Great experience",11676
La Consentida,Barcelona,"('Japanese', 'Mediterranean', 'Spanish', 'Sushi')",3.5,50.0,106.0,"Old fish and poor variety, Try somewhere else",11677
Bar Level Tapas,Barcelona,"('Mediterranean', 'Spanish')",3.5,50.0,19.0,Great Sunday lunch,11678
Casa Joan,Barcelona,"('Mediterranean', 'Spanish', 'Pizza')",3.5,50.0,118.0,"The place to go for fabulous Rioja, Just GO!",11679
Mato de Pedralbes,Barcelona,[],3.0,,17.0,"Overpriced, The best calamari I have ever eaten",11680
La Taberna China,Barcelona,Street Food,3.5,50.0,16.0,"Could be excellent, Different & good Chinese Cuisine",11681
A Prop Del Cel,Barcelona,"('Mediterranean', 'Spanish', 'Fusion')",3.5,50.0,4.0,,11682
Boca Cocktail Lounge,Barcelona,"('International', 'Mediterranean')",4.5,50.0,5.0,"Excellent food, great design, Wonderful!",11683
Frankfurt La Choza,Barcelona,"('European', 'Spanish')",3.5,50.0,5.0,"Considering the offert in that area...., The best place for breakfast in montjuic a...",11684
Bar El Kit Kat,Barcelona,"('Spanish', 'Mediterranean')",3.0,20.0,16.0,"All business all the time, One of the highlight of our trip",11685
Al Passatore,Barcelona,"('Italian', 'Pizza')",3.5,50.0,7.0,,11686
Bar Restaurante L'Illa Del Mar,Barcelona,[],3.5,,9.0,"good breakfast, Great Place",11687
Manning Lobby Bar,Barcelona,Spanish,4.5,,21.0,"Lovely outdoor seating in splendid setting..., Lovely for lunch and drinks",11688
Marc Restaurant Bar,Barcelona,Mediterranean,3.5,50.0,41.0,"The worst consumer service I ever had in a..., Nice for an afternoon cup of tea",11689
Bar tapas i copas Pedro,Barcelona,Spanish,3.0,,6.0,"Cheap but...., Decent sangria while waiting for laundry",11690
Frankfurt Plaza,Barcelona,[],3.5,,2.0,Friendly Service and good hot dog,11691
